Script started on 2020-09-20 11:50:19-0400
]0;danielvaseekaran@school: ~/Documents/GTOMSCS/CS6210-AOS/projects/CS6210-project1/cpu[01;32mdanielvaseekaran@school[00m:[01;34m~/Documents/GTOMSCS/CS6210-AOS/projects/CS6210-project1/cpu[00m$ ./monitor.py
--------------------------------------------------
0 - usage: 1.0 | mapping ['aos_vm6', 'aos_vm4', 'aos_vm7', 'aos_vm5']
11 - usage: 0.0 | mapping []
--------------------------------------------------
0 - usage: 43.0 | mapping ['aos_vm6']
1 - usage: 43.0 | mapping ['aos_vm8']
2 - usage: 42.0 | mapping ['aos_vm4']
3 - usage: 41.0 | mapping ['aos_vm1']
4 - usage: 42.0 | mapping ['aos_vm7']
5 - usage: 44.0 | mapping ['aos_vm2']
6 - usage: 44.0 | mapping ['aos_vm5']
7 - usage: 43.0 | mapping ['aos_vm3']
8 - usage: 0.0 | mapping []
9 - usage: 0.0 | mapping []
10 - usage: 0.0 | mapping []
11 - usage: 0.0 | mapping []
^CTraceback (most recent call last):
  File "./monitor.py", line 117, in <module>
    s.run()
  File "/usr/lib/python2.7/sched.py", line 111, in run
    delayfunc(time - now)
KeyboardInterrupt
]0;danielvaseekaran@school: ~/Documents/GTOMSCS/CS6210-AOS/projects/CS6210-project1/cpu[01;32mdanielvaseekaran@school[00m:[01;34m~/Documents/GTOMSCS/CS6210-AOS/projects/CS6210-project1/cpu[00m$ exit
exit

Script done on 2020-09-20 11:50:51-0400
